episode,total_reward,steps,avg_loss,epsilon,solved
302,19.50,48,0.0014,0.4036,1
303,-27.00,1024,0.0015,0.4024,0
304,20.50,52,0.0013,0.4012,1
305,-28.00,1024,0.0015,0.4000,0
306,-22.00,1024,0.0015,0.3988,0
307,18.00,63,0.0010,0.3976,1
308,-24.00,1024,0.0018,0.3964,0
309,-37.50,1024,0.0010,0.3952,0
310,-35.00,1024,0.0015,0.3940,0
311,-20.50,1024,0.0018,0.3928,0
312,18.50,90,0.0008,0.3916,1
313,-23.00,1024,0.0022,0.3905,0
314,-30.50,1024,0.0019,0.3893,0
315,-26.50,1024,0.0017,0.3881,0
316,-28.00,1024,0.0019,0.3870,0
317,-27.50,1024,0.0014,0.3858,0
318,-24.00,1024,0.0014,0.3846,0
319,-30.00,1024,0.0020,0.3835,0
320,-19.00,1024,0.0012,0.3823,0
321,20.50,74,0.0026,0.3812,1
322,-24.50,1024,0.0024,0.3801,0
323,-26.50,1024,0.0011,0.3789,0
324,-25.50,1024,0.0011,0.3778,0
325,-20.00,1024,0.0016,0.3766,0
326,-24.50,1024,0.0013,0.3755,0
327,-19.50,1024,0.0013,0.3744,0
328,-27.50,1024,0.0015,0.3733,0
329,-33.50,1024,0.0015,0.3721,0
330,-20.00,1024,0.0017,0.3710,0
331,20.00,47,0.0031,0.3699,1
332,-24.50,1024,0.0020,0.3688,0
333,-22.50,1024,0.0019,0.3677,0
334,-32.50,1024,0.0016,0.3666,0
335,19.00,71,0.0009,0.3655,1
336,-22.00,1024,0.0017,0.3644,0
337,20.00,55,0.0011,0.3633,1
338,-40.50,1024,0.0012,0.3622,0
339,23.00,51,0.0005,0.3611,1
340,-25.00,1024,0.0021,0.3600,0
341,20.50,70,0.0017,0.3590,1
342,22.00,67,0.0017,0.3579,1
343,-20.50,1024,0.0025,0.3568,0
344,21.50,64,0.0026,0.3557,1
345,-16.50,1024,0.0017,0.3547,0
346,-24.00,1024,0.0020,0.3536,0
347,-17.00,1024,0.0019,0.3525,0
348,-16.00,1024,0.0021,0.3515,0
349,-27.00,1024,0.0021,0.3504,0
350,22.00,45,0.0013,0.3494,1
351,-10.50,572,0.0025,0.3483,1
352,21.00,49,0.0025,0.3473,1
353,-29.50,1024,0.0015,0.3463,0
354,-32.50,1024,0.0018,0.3452,0
355,-18.50,1024,0.0025,0.3442,0
356,-23.50,1024,0.0018,0.3431,0
357,-16.00,1024,0.0023,0.3421,0
358,-26.00,1024,0.0021,0.3411,0
359,-24.50,1024,0.0018,0.3401,0
360,-30.00,1024,0.0016,0.3390,0
361,21.00,55,0.0027,0.3380,1
362,20.50,46,0.0031,0.3370,1
363,-19.50,1024,0.0018,0.3360,0
364,-22.50,1024,0.0014,0.3350,0
365,-19.50,1024,0.0020,0.3340,0
366,-19.50,1024,0.0011,0.3330,0
367,21.00,55,0.0011,0.3320,1
368,-18.50,1024,0.0016,0.3310,0
369,20.50,46,0.0009,0.3300,1
370,-8.50,1024,0.0015,0.3290,0
371,-16.50,1024,0.0020,0.3280,0
372,-20.00,1024,0.0013,0.3270,0
373,-12.50,1024,0.0012,0.3261,0
374,-14.50,1024,0.0012,0.3251,0
375,-14.00,1024,0.0012,0.3241,0
376,-22.00,1024,0.0014,0.3231,0
